기업명,설립연차_지울거,기업규모,설립연도,업종,본사_주소,최저_연봉,최고_연봉,평균_연봉,년도,
(주)텔로스,업력 6년차,중소기업,2020년 4월 14일 설립,응용 소프트웨어 개발 및 공급업,"전북 전주시 완산구 팔달로 184, 4층","2,710만원","6,157만원","4,168만원",2020년,
축산물품질평가원,업력 25년차,공공기관,2001년 7월 27일 설립,물질성분 검사 및 분석업,"세종 아름서길 21 (아름동,축산물품질평가원)","3,619만원","7,691만원","6,652만원",2001년,
(주)써머스플랫폼,업력 27년차,중견기업,1999년 10월 15일 설립,응용 소프트웨어 개발 및 공급업,"서울 금천구 가산디지털2로 144, 17층 (가산동,현대테라타워 가산디케이)","2,837만원","6,505만원","4,597만원",1999년,
(주)이지식스,업력 13년차,중소기업,2013년 9월 5일 설립,응용 소프트웨어 개발 및 공급업,"서울 강남구 테헤란로20길 9, 13층 (역삼동,동궁빌딩)","3,172만원","7,272만원","5,706만원",2013년,
라파라드(주),업력 5년차,중소기업,2021년 4월 12일 설립,기타 공학 연구개발업,"서울 강남구 역삼로 165, 6층 에이실 (역삼동,해성빌딩)","2,103만원","5,164만원","2,998만원",2021년,
(주)네오플,업력 25년차,대기업,2001년 4월 2일 설립,유선 온라인 게임 소프트웨어 개발 및 공급업,제주 제주시 1100로 3198-13,"4,746만원","10,558만원","9,450만원",2001년,
소프트랩스,,중소기업,2015년12월21일,"소프트웨어개발, 인터넷서비스",서울 금천구,,,,2015년,
(주)이노시그널,,중소기업,2015년8월18일,"전자기 측정, 시험 및 분석기구 제조업",경기 성남시,"3,112만원","6,227만원","4,913만원",2015년,
(주)파수,업력 26년차,중소기업,2000년 6월 8일 설립,응용 소프트웨어 개발 및 공급업,"서울 마포구 월드컵북로 396, 17층 (상암동,누리꿈스퀘어비즈니스센타)","3,186만원","7,284만원","5,773만원",2000년,
세아ICT,,중소기업,2017년8월30일,"전기, 전자, 반도체",경기도 부천시,,,,2017년,
(주)미니레코드,,중소기업,2010년3월10일,응용 소프트웨어 개발 및 공급업,서울 송파구,,,,2010년,
주식회사 바이트사이즈,,중소기업,2024년4월17일,솔루션/SI/ERP/CRM,부산 부산진구,,,,2024년,
오마이어스(주),업력 3년차,중소기업,2023년 2월 13일 설립,시스템 소프트웨어 개발 및 공급업,"경기 성남시 분당구 성남대로331번길 8, 21층 (정자동,킨스타워)","2,096만원","5,597만원","2,950만원",2023년,
딜로이트컨설팅(유),업력 27년차,중소기업,1999년 2월 10일 설립,경영 컨설팅업,서울 영등포구 국제금융로 10,"4,339만원","10,415만원","8,805만원",1999년,
(주)세스코,,중견기업,1976년8월23일,"소독, 구충 및 방제 서비스업",서울 강동구,,,,1976년,
(주)하이,,중소기업,2016년12월1일,응용 소프트웨어 개발 및 공급업,"서울 종로구 삼일대로 428, 501호 (낙원동,낙원상가)","2,768만원","6,681만원","4,426만원",2016년,
(주)난소프트,,중소기업,2013년1월21일,응용 소프트웨어 개발 및 공급업,서울 금천구,"3,448만원","7,757만원","6,542만원",2013년,
(주)와이넷,,중소기업,2014년9월26일,응용 소프트웨어 개발 및 공급업,대전 유성구,,,,2014년,
(주)더블유위안,업력 4년차,중소기업,2022년 4월 5일 설립,모바일 게임 소프트웨어 개발 및 공급업,"경기 성남시 수정구 대왕판교로 815, 4층 407호 (시흥동,판교창조경제밸리기업지원허브메타버스허브)","3,165만원","6,787만원","5,552만원",2022년,
(주)플라잎,,중소기업,2020년1월29일,솔루션/SI/ERP/CRM,경기 성남시,,,,2020년,
인포그램(주),업력 14년차,중소기업,2012년 6월 8일 설립,시스템 소프트웨어 개발 및 공급업,"경기 화성시 동탄기흥로 557, 18층","3,329만원","7,081만원","5,516만원",2012년,
(주)서북,,중소기업,2020년3월18일,기타 광학기기 및 사진기 제조업,충남 천안시,"2,615만원","5,626만원","3,969만원",2020년,
(주) 놀유니버스,,중견기업,2022년4월1일,상품 종합 도매업,경기 성남시,,,,2022년,
(주)에스와이폴라리스,업력 5년차,중소기업,2021년 7월 5일 설립,응용 소프트웨어 개발 및 공급업,"서울 중구 정동길 14, 2층 (정동,오송빌딩)","3,755만원","8,521만원","7,505만원",2021년,
대전대학교,,기타,1981년3월1일,,대전광역시 동구,,,,1981년,
쿠팡(주),업력 13년차,대기업,2013년 2월 15일 설립,전자상거래 소매업,서울 송파구,,,,2013년,
(주)포유디지탈,업력 21년차,중소기업,2005년 10월 31일 설립,컴퓨터 제조업,경기 고양시 일산동구 동국로 81-11,"2,848만원","5,813만원","4,344만원",2005년,
(주) 브이웨이,업력 11년차,중소기업,2015년 12월 7일 설립,시스템 소프트웨어 개발 및 공급업,"서울 중구 퇴계로 243, 5층 501호 (충무로5가,평광빌딩)",,,,2015년,
(주)버블콘,업력 7년차,중소기업,2019년 2월 1일 설립,그 외 기타 정보 서비스업,"서울 구로구 디지털로34길 43, 1001호 (구로동,코오롱싸이언스밸리1차)","3,172만원","7,047만원","5,586만원",2019년,
(주)베이스인 네트웍스,,중소기업,2001년4월12일,통신·방송장비 및 부품 도매업,경남 성남시,"3,077만원","6,771만원","5,300만원",2001년,
(주)로엔코리아,업력 4년차,중소기업,2022년 2월 25일 설립,응용 소프트웨어 개발 및 공급업,"부산 강서구 과학산단1로60번길 31, 2비동 207호","2,972만원","6,624만원","5,061만원",2022년,
(주)에이바이트,업력 10년차,중소기업,2016년 4월 26일 설립,응용 소프트웨어 개발 및 공급업,"서울 서초구 강남대로99길 53, 2층 (잠원동,삼우빌딩)","3,088만원","7,074만원","5,493만원",2016년,
(주)웨이센,,중소기업,2019년6월28일,컴퓨터시스템 통합 자문 및 구축 서비스업,서울 강남구,,,,2019년,
(주)오늘의집페이,업력 2년차,중소기업,2024년 4월 9일 설립,응용 소프트웨어 개발 및 공급업,"서울 서초구 서초대로74길 4, 21층 (서초동,삼성생명서초타워)",,,,2024년,
(주)클라썸,,중소기업,2018년8월30일,컴퓨터시스템 통합 자문 및 구축 서비스업,서울 강남구,,,,2018년,
(주)비케이브,,중소기업,2014년8월19일,"근무복, 작업복 및 유사의복 제조업",서울 마포구,,,,2014년,
(주)아이티제이엘,업력 7년차,중소기업,2019년 10월 4일 설립,통신기기 소매업,"서울 중구 서소문로 103, 10층 1025호 (서소문동,배재빌딩)","3,703만원","6,728만원","6,151만원",2019년,
주식회사 심플비트,업력 18년차,중소기업,2008년 10월 1일 설립,응용 소프트웨어 개발 및 공급업,"경기 성남시 중원구 성남대로 985, 605호,606호","2,829만원","6,226만원","4,279만원",2008년,
(주)메타덱스터,업력 5년차,중소기업,2021년 12월 28일 설립,응용 소프트웨어 개발 및 공급업,"서울 영등포구 문래북로 8, 1101호 (문래동6가,에이스엔에스타워)","3,620만원","7,994만원","7,074만원",2021년,
(주)타인에이아이,업력 6년차,중소기업,2020년 6월 5일 설립,응용 소프트웨어 개발 및 공급업,"서울 강남구 강남대로114길 20, 3층","3,319만원","7,454만원","6,136만원",2020년,
(주)비트망고,업력 29년차,중견기업,1997년 7월 29일 설립,모바일 게임 소프트웨어 개발 및 공급업,"경기 성남시 분당구 대왕판교로645번길 14, 3층",,,,1997년,
피피에스(주),업력 10년차,중소기업,2016년 12월 21일 설립,컴퓨터 프로그래밍 서비스업,"서울 광진구 자양로 131, 4층 (자양동,케이앤에스빌딩)",,,,2016년,
(주)니어스랩,업력 11년차,중소기업,2015년 5월 14일 설립,시스템 소프트웨어 개발 및 공급업,서울 송파구,,,,2015년,
포인드주식회사,,중소기업,2017년2월8일,소프트웨어 솔루션 ASP,경상북도 구미시,,,,2017년,
(주)커뮤,,중소기업,2011년10월25일,컴퓨터 프로그래밍 서비스업,대전 유성구,"3,011만원","6,897만원","5,114만원",2011년,
(주)인티그리트,업력 12년차,중소기업,2014년 6월 27일 설립,산업용 로봇 제조업,"서울 강남구 삼성로 547, 5층 (삼성동,비케이타워)","3,642만원","7,392만원","6,492만원",2014년,
(주)슈가힐,업력 10년차,중소기업,2016년 12월 19일 설립,그 외 기타 정보 서비스업,"서울 강남구 테헤란로8길 42, 2층","3,097만원","6,427만원","5,366만원",2016년,
(주)링크글로벌21,업력 10년차,중소기업,2016년 6월 3일 설립,응용 소프트웨어 개발 및 공급업,"서울 서초구 신반포로45길 55, 3층 (잠원동,아이씨엠빌딩)","3,021만원","6,889만원","5,249만원",2016년,
(주)아이비피,업력 12년차,중소기업,2014년 5월 16일 설립,응용 소프트웨어 개발 및 공급업,"서울 강서구 양천로 400-12, 809호","3,088만원","7,078만원","5,496만원",2014년,
(주)바미에듀,업력 3년차,중소기업,2023년 6월 22일 설립,기타 공학 연구개발업,"서울 영등포구 영등포로 150, A동 1514호 (당산동1가,생각공장 당산)",,,,2023년,
(주)에이엠시지,,중소기업,2021년3월3일,그 외 기타 의료용 기기 제조업,서울 서초구,"3,594만원","7,903만원","7,092만원",2021년,
행복쇼핑(주),업력 13년차,중소기업,2013년 7월 9일 설립,데이터베이스 및 온라인정보 제공업,"서울 양천구 목동동로 293, 20층 2002호, 2003호 (목동,현대41타워)","2,488만원","5,971만원","3,603만원",2013년,
(주)퀀텀인텔리전스,업력 6년차,중소기업,2020년 6월 8일 설립,응용 소프트웨어 개발 및 공급업,"서울 영등포구 국제금융로 10, 31층 3140호 (여의도동,원아이에프씨)","4,167만원","8,742만원","7,990만원",2020년,
엔에이치엔링크(주),업력 12년차,중견기업,2014년 4월 15일 설립,포털 및 기타 인터넷 정보매개 서비스업,"서울 강남구 강남대로 586 (논현동,제이빌딩)","3,076만원","7,416만원","5,319만원",2014년,
주식회사포엠지,업력 2년차,중소기업,2024년 7월 1일 설립,솔루션·SI·ERP·CRM,"서울 영등포구 영등포로 150 생각공장 당산 C동 1301~2호, 905호",,,,2024년,
(주)디엠씨미디어,업력 24년차,중견기업,2002년 6월 27일 설립,광고 대행업,"서울 강남구 학동로 401, 5층","3,008만원","7,029만원","5,147만원",2002년,
(주)아론티어,업력 9년차,중소기업,2017년 10월 23일 설립,응용 소프트웨어 개발 및 공급업,"서울 서초구 강남대로 241, 15층 (서초동,세원빌딩)","3,786만원","8,639만원","7,604만원",2017년,
(주)오상헬스케어,업력 30년차,중소기업,1996년 4월 26일 설립,의료용품 및 기타 의약 관련제품 제조업,경기 안양시 동안구 안양천동로 132,"3,558만원","7,450만원","6,425만원",1996년,
(주)오스랩스,업력 13년차,중소기업,2013년 3월 22일 설립,시스템 소프트웨어 개발 및 공급업,"서울 마포구 월드컵북로 396, 1115호 (상암동,누리꿈스퀘어 알앤디타워)","3,084만원","7,199만원","5,324만원",2013년,
(주)코보시스,,중소기업,2018년7월2일,시스템 소프트웨어 개발 및 공급업,서울 송파구,"3,474만원","7,908만원","6,382만원",2018년,
(주)보이노시스,,중소기업,2022년9월26일,응용 소프트웨어 개발 및 공급업,경기 광주시,,,,2022년,
(주)창의와탐구,업력 28년차,중소기업,1998년 7월 8일 설립,유아 교육기관,"서울 서초구 남부순환로 2219, 5층 (방배동,나노빌딩)","2,604만원","5,509만원","4,100만원",1998년,
(주)아이티특공대,업력 5년차,중소기업,2021년 1월 25일 설립,컴퓨터 프로그래밍 서비스업,"경기 성남시 분당구 판교역로192번길 16, 610호",,,,2021년,
(주)리브포워드,,중소기업,2023년6월19일,그 외 기타 분류 안된 섬유제품 제조업,경기 과천시,"2,965만원","6,121만원","4,561만원",2023년,
(주)파스토,업력 8년차,중소기업,2018년 2월 6일 설립,응용 소프트웨어 개발 및 공급업,"서울 강남구 학동로45길 3, 3층 (논현동,성우빌딩)","3,937만원","9,164만원","8,098만원",2018년,
호전실업(주),,중견기업,1985년3월5일,그 외 기타 봉제의복 제조업,서울 마포구,"3,361만원","7,301만원","5,823만원",1985년,
(주)마스터코리아,,중소기업,2019년2월7일,컴퓨터시스템 통합 자문 및 구축 서비스업,서울 금천구,"3,815만원","7,373만원","6,823만원",2019년,
(주)엔이에스,업력 8년차,중소기업,2018년 8월 16일 설립,컴퓨터시스템 통합 자문 및 구축 서비스업,"충북 청주시 청원구 상당로 314, 363호 (내덕동,청주첨단문화산업단지)","2,600만원","6,223만원","4,010만원",2018년,
오로라월드(주),업력 41년차,중견기업,1985년 9월 25일 설립,시각 디자인업,서울 강남구 테헤란로 624,"2,796만원","6,293만원","4,534만원",1985년,
(주)노크,,중소기업,2011년11월4일,"솔루션/SI/ERP/CRM",서울 성동구,,,,2011년,
(주)에이티센스,업력 9년차,중소기업,2017년 9월 21일 설립,전기식 진단 및 요법 기기 제조업,"경기 성남시 분당구 황새울로 321, 6층 601호 (서현동,갤러리타워)",,,,2017년,
(주)뉴마핏,업력 5년차,중소기업,2021년 7월 26일 설립,기타 운동 및 경기용구 제조업,"서울 마포구 마포대로 122, 13층","2,628만원","5,340만원","3,619만원",2021년,
(주)하이브랩,,중소기업,2012년5월9일,응용 소프트웨어 개발 및 공급업,경기 성남시,"2,881만원","6,896만원","4,655만원",2012년,
(주)알파코,업력 21년차,중소기업,2005년 12월 12일 설립,온라인 교육 학원,"서울 성동구 성수일로8길 59, 6층 (성수동2가,평화빌딩)","2,974만원","6,413만원","5,016만원",2005년,
(주)이큐브랩,업력 15년차,중소기업,2011년 7월 4일 설립,그 외 기타 특수목적용 기계 제조업,"서울 구로구 디지털로34길 55, 1503호 (구로동,코오롱싸이언스밸리2차)","3,075만원","6,639만원","5,244만원",2011년,
(주)싸이드워크엔터테인먼트,,중소기업,2020년1월13일,응용 소프트웨어 개발 및 공급업,"서울 마포구 월드컵북로 396, 1004호 (상암동,누리꿈스퀘어연구개발타워)","2,894만원","6,524만원","4,699만원",2020년,
(주)아이리스브라이트,,중소기업,2020년8월11일,전자상거래 소매업,서울 강남구,"2,550만원","5,486만원","3,797만원",2020년,
(주)큐버스랩,업력 9년차,중소기업,2017년 1월 12일 설립,응용 소프트웨어 개발 및 공급업,"서울 마포구 월드컵북로 45, 4층","3,147만원","7,138만원","5,604만원",2017년,
주식회사 리앤로,업력 7년차,중소기업,2019년 12월 23일 설립,쇼핑몰·오픈마켓,경기 하남시 미사대로 550 현대지식산업센터 한강미사,"3,177만원","6,693만원","5,545만원",2019년,
(주)미리디,업력 18년차,중소기업,2008년 5월 23일 설립,응용 소프트웨어 개발 및 공급업,서울 구로구,"3,011만원","7,100만원","5,326만원",2008년,
(주)티클,업력 11년차,중소기업,2015년 8월 24일 설립,응용 소프트웨어 개발 및 공급업,"경기 용인시 수지구 법조로 215, 3층","2,845만원","6,262만원","4,345만원",2015년,
(주)제이디아이테크놀로지,12                                        명,중소기업,2023년4월4일,하드웨어·장비,서울 금천구 벚꽃로 254 월드메르디앙1차,,,,2023년,
위드마인드 R&D센터,업력 9년차,중소기업,2017년 7월 5일 설립,솔루션·SI·ERP·CRM,서울 마포구 신촌로4길 14,,,,2017년,
(주)세이브잡스,업력 2년차,중소기업,2024년 7월 25일 설립,응용 소프트웨어 개발 및 공급업,"전남 목포시 석현로 46, 목포벤처지원센터 벤처동 209호",,,,2024년,
(주)위즈코리아,업력 23년차,중소기업,2003년 7월 1일 설립,응용 소프트웨어 개발 및 공급업,"서울 강서구 공항대로 321, 2층, 3층, 4층, 5층 (등촌동,위즈수영빌딩)","3,041만원","7,029만원","5,348만원",2003년,
(주)모바휠,,중소기업,2020년8월14일,전자감지장치 제조업,대전 유성구,"3,432만원","7,549만원","6,282만원",2020년,
브라더스비(주),업력 8년차,중소기업,2018년 10월 29일 설립,응용 소프트웨어 개발 및 공급업,"서울 관악구 양녕로 15, 2층 (봉천동,월드빌딩)",,,,2018년,
(주)디프,업력 4년차,중소기업,2022년 11월 9일 설립,전자상거래 소매업,"인천 서구 원당대로 328, 1층 에이호",,,,2022년,
(주)빌드코퍼레이션,,중소기업,2024년7월25일,"솔루션/SI/ERP/CRM",서울 강남구,,,,2024년,
(주)나루데이타,,중소기업,2002년5월30일,"IT인프라 성능분석솔루션, 금융IT시스템구축",서울 성동구,,,,2002년,
(주)크라우드웍스,업력 9년차,중소기업,2017년 4월 25일 설립,응용 소프트웨어 개발 및 공급업,"서울 강남구 테헤란로 309, 5층 (역삼동,삼성제일빌딩)","2,971만원","6,831만원","5,073만원",2017년,
(주)코빗,업력 13년차,대기업,2013년 7월 5일 설립,컴퓨터시스템 통합 자문 및 구축 서비스업,"서울 강남구 테헤란로5길 7, 4층","4,419만원","9,997만원","8,405만원",2013년,
정유니브(주),업력 22년차,중소기업,2004년 10월 6일 설립,컴퓨터시스템 통합 자문 및 구축 서비스업,"부산 남구 수영로 312, 809호 (대연동,21센츄리시티오피스텔)","2,590만원","6,169만원","3,942만원",2004년,
(주)서플러스글로벌,,중견기업,2000년3월28일,기타 산업용 기계 및 장비 도매업,경기 용인시,,,,2000년,
(주)페스카로,,중소기업,2016년7월14일,시스템 소프트웨어 개발 및 공급업,"경기 수원시 영통구 광교중앙로266번길 40, 4층 (하동,에스케이법조타운)",,,,2016년,
(주)디비스쿨,업력 8년차,중소기업,2018년 2월 23일 설립,일반 서적 출판업,"서울 금천구 디지털로9길 99, 510호","3,032만원","6,071만원","4,647만원",2018년,
(주)카르노플릿,업력 5년차,중소기업,2021년 5월 12일 설립,기타 정보기술 및 컴퓨터운영 관련 서비스업,"서울 서초구 강남대로95길 19-15, 4층, 5층 (잠원동,윤빌딩)","4,664만원","8,878만원","8,354만원",2021년,
(주)비솔,업력 26년차,중소기업,2000년 1월 6일 설립,"기타 측정, 시험, 항해, 제어 및 정밀기기 제조업",경기 광명시,"3,450만원","7,457만원","6,253만원",2000년,
엘리펀트키즈에듀테인먼트,업력 7년차,중소기업,2019년 1월 15일 설립,유아·유치원,인천 계양구 용마루길 18-1,,,,2019년,
(주)플랜티넷,,중소기업,2000년6워1일,시스템 소프트웨어 개발 및 공급업,경기 성남시,"3,138만원","7,330만원","5,495만원",2000년,
(주)비상교육,업력 24년차,중견기업,2002년 1월 21일 설립,교과서 및 학습서적 출판업,"경기 과천시 과천대로2길 54, 14층",,,,2002년,
나랑가,,중소기업,2023년 06월 07일,응용 소프트웨어 개발 및 공급업,"울산 울주군 웅촌면 곡천동문길 32, 5층 503호 (곡천리,창업일자리종합지원센터)",,,,2023년,
(주)콜로세움코퍼레이션,업력 7년차,중소기업,2019년 5월 22일 설립,기타 보관 및 창고업,"서울 강남구 역삼로 415, 3층 (대치동,성진빌딩)","3,147만원","6,545만원","5,486만원",2019년,
(주)에듀토셀,,중소기업,2012년3월12일,교육 연구 및 개발,서울 성북구,,,,2012년,
(주)손해제로,업력 2년차,중소기업,2024년 5월 23일 설립,시스템 소프트웨어 개발 및 공급업,"서울 서초구 바우뫼로7길 8, 8층 801호",,,,2024년,
울랄라랩(주),,중소기업,2011년5월23일,시스템 소프트웨어 개발 및 공급업,경기 안양시,"3,120만원","7,199만원","5,421만원",2011년,
(주)모라,업력 2년차,중소기업,2024년 12월 30일 설립,응용 소프트웨어 개발 및 공급업,"광주 광산구 월계로 195, 상가동 5층 505호 (월계동,스카이하이1차)",,,,2024년,
(주)엠지스,,중소기업,2022년1월12일,응용 소프트웨어 개발 및 공급업,서울 동작구,"2,664만원","5,620만원","3,613만원",2022년,
(주)와탭랩스,업력 11년차,중소기업,2015년 7월 1일 설립,응용 소프트웨어 개발 및 공급업,"서울 서초구 서초대로77길 17, 13층 1303호","3,833만원","8,849만원","7,772만원",2015년,
아이헤이트플라잉버그스(주),업력 14년차,중소기업,2012년 1월 2일 설립,온라인 교육 학원,"서울 영등포구 여의대로 108, 타워1 39층 (여의도동,파크원)","2,861만원","5,512만원","4,243만원",2012년,
한솔PNS(주) 아이티서비스부문,업력 31년차,대기업,1995년 11월 1일 설립,솔루션·SI·ERP·CRM,서울 강서구 양천로 570 NH서울축산농협 NH서울타워 6층,,,,1995년,
